student_id,skill_id,skill_mastery,ability_profile,problem_difficulty,correctness,problems
8,79,0.101781,0,5,0,377
8,88,0.496815,0,5,1,406
8,90,0.849057,0,1,1,408
8,90,0.848923,0,1,1,407
8,90,0.848789,0,1,1,408
8,91,0.93125,0,1,1,407
8,91,0.931176,0,1,1,408
8,91,0.931103,0,1,1,407
8,91,0.931029,0,1,1,408
8,91,0.930956,0,1,1,407
8,91,0.930882,0,1,1,408
8,91,0.930808,0,1,1,407
8,92,0.869281,0,1,1,409
8,92,0.869159,0,1,1,410
8,92,0.869037,0,1,1,409
8,93,0.894737,0,1,1,410
8,93,0.894633,0,1,1,409
8,94,0.512987,0,2,0,412
8,94,0.51597,0,1,1,411
8,94,0.51583,0,2,1,412
8,80,0.928571,3,1,1,411
8,80,0.928495,3,2,1,412
8,80,0.928419,3,1,1,411
8,80,0.928343,3,2,1,412
8,81,0.416667,3,1,0,413
8,81,0.10744,3,1,1,414
8,81,0.206857,3,1,1,413
8,82,0.908451,3,1,1,414
8,82,0.908357,3,1,1,413
8,82,0.908264,3,1,1,414
8,82,0.908171,3,1,1,413
8,20,0.878378,3,1,1,556
8,21,0.90604,3,1,1,182
8,21,0.905921,3,1,1,184
8,21,0.905802,3,1,1,825
8,21,0.905683,3,1,1,183
8,21,0.905564,3,2,1,179
8,22,0.916667,3,1,1,187
8,22,0.91658,3,1,1,185
8,22,0.916494,3,1,1,189
8,22,0.916407,7,0,1,186
8,22,0.916321,7,1,1,188
8,22,0.916234,7,2,0,190
8,23,0.95,7,1,1,178
8,23,0.959731,7,1,1,191
8,23,0.967602,7,2,1,474
8,24,0.940476,7,1,1,180
8,24,0.940411,7,1,1,192
8,24,0.940346,7,1,1,181
8,108,0.274074,7,7,1,635
8,108,0.305823,7,4,0,639
8,108,0.250196,7,2,1,645
8,108,0.280308,7,4,1,649
8,108,0.312454,7,3,1,643
8,109,0.917293,7,1,1,646
8,109,0.9686,7,1,1,650
8,109,0.988452,7,1,1,640
8,109,0.995804,7,1,1,644
8,110,0.170543,7,3,0,669
8,110,0.001686,7,4,1,683
8,110,0.003399,7,4,1,675
8,110,0.005833,7,4,1,673
8,110,0.009283,7,3,1,671
8,110,0.014164,7,3,1,667
8,110,0.021045,7,3,1,665
8,110,0.030695,7,5,1,679
8,111,0.848,7,2,1,666
8,111,0.847784,7,2,1,668
8,111,0.847567,7,2,1,674
8,111,0.847351,7,3,0,676
8,111,0.848363,7,3,0,680
8,111,0.849369,7,2,1,670
8,111,0.849154,7,2,1,684
8,111,0.848939,7,2,1,672
8,111,0.848724,7,2,1,666
8,112,0.589286,7,4,0,686
8,112,0.590663,7,4,1,707
8,26,0.8,7,2,1,562
8,27,0.952381,7,1,1,863
8,27,0.952328,7,1,1,887
8,27,0.952275,7,1,1,864
8,28,0.84375,7,2,1,883
8,28,0.843613,7,2,1,873
8,28,0.843477,7,1,1,891
8,28,0.84334,7,1,1,862
8,29,0.94186,7,1,1,875
8,29,0.941797,7,0,1,892
8,29,0.941733,7,1,1,893
8,30,0.95,7,1,1,876
8,30,0.949944,7,1,1,895
8,30,0.949889,7,0,1,894
8,31,0.965517,7,0,1,882
8,95,0.72807,7,3,0,397
8,95,0.729659,7,2,1,384
8,95,0.729366,7,2,1,381
8,95,0.729072,7,2,1,383
8,99,0.884956,7,2,1,384
8,99,0.884816,7,2,1,382
8,99,0.884677,7,2,1,383
8,100,0.637168,7,2,1,416
8,100,0.636953,7,2,1,415
8,100,0.636739,7,2,1,416
8,100,0.636524,7,2,1,415
8,101,0.872727,7,2,1,416
8,101,0.872608,7,2,1,415
8,101,0.872488,7,2,1,416
8,102,0.7,7,3,1,422
8,104,0.786408,7,2,1,423
8,106,0.742424,7,2,1,425
8,106,0.742204,7,2,1,424
8,33,0.931373,7,1,1,561
8,34,0.875,7,1,1,9
8,34,0.874882,7,5,0,0
8,34,0.877178,7,1,1,475
8,34,0.877061,7,0,1,5
8,34,0.876945,7,1,1,13
8,34,0.876828,7,1,1,171
8,34,0.876711,7,1,1,7
8,34,0.876594,7,1,1,1
8,34,0.876477,7,3,1,476
8,34,0.87636,7,2,1,12
8,34,0.876243,7,0,1,11
8,35,0.939759,7,1,1,19
8,35,0.939693,7,1,0,29
8,35,0.940876,7,1,1,30
8,35,0.940812,7,4,1,22
8,35,0.940747,7,0,1,34
8,36,0.96875,7,0,1,17
8,36,0.968714,7,2,1,560
8,36,0.968678,7,1,1,897
